Date,Open,High,Low,Close,Adj Close,Volume,Ticker
4/30/19,203.0599976,203.3999939,199.1100006,200.6699982,198.0773621,46534900,AAPL
5/1/19,209.8800049,215.3099976,209.2299957,210.5200043,207.8001099,64827300,AAPL
5/2/19,209.8399963,212.6499939,208.1300049,209.1499939,206.4477997,31996300,AAPL
5/3/19,210.8899994,211.8399963,210.2299957,211.75,209.0142212,20892400,AAPL
5/6/19,204.2899933,208.8399963,203.5,208.4799957,205.7864685,32443100,AAPL
5/7/19,205.8800049,207.4199982,200.8300018,202.8600006,200.2390747,38763700,AAPL
5/8/19,201.8999939,205.3399963,201.75,202.8999939,200.2785339,26339500,AAPL
5/9/19,200.3999939,201.6799927,196.6600037,200.7200012,198.126709,34908600,AAPL
5/10/19,197.4199982,198.8500061,192.7700043,197.1799927,195.3819733,41208700,AAPL
5/13/19,187.7100067,189.4799957,182.8500061,185.7200012,184.0264893,57430600,AAPL
5/14/19,186.4100037,189.6999969,185.4100037,188.6600037,186.9396667,36529700,AAPL
5/15/19,186.2700043,191.75,186.0200043,190.9199982,189.1790619,26544700,AAPL
5/16/19,189.9100037,192.4700012,188.8399963,190.0800018,188.3467255,33031400,AAPL
5/17/19,186.9299927,190.8999939,186.7599945,189,187.2765808,32879100,AAPL
5/20/19,183.5200043,184.3500061,180.2799988,183.0899963,181.4204712,38612300,AAPL
5/21/19,185.2200012,188,184.6999969,186.6000061,184.898468,28364800,AAPL
5/22/19,184.6600037,185.7100067,182.5500031,182.7799988,181.1132813,29748600,AAPL
5/23/19,179.8000031,180.5399933,177.8099976,179.6600037,178.0217438,36529700,AAPL
5/24/19,180.1999969,182.1399994,178.6199951,178.9700012,177.3380432,23714700,AAPL
5/28/19,178.9199982,180.5899963,177.9100037,178.2299957,176.6047821,27948200,AAPL
5/29/19,176.4199982,179.3500061,176,177.3800049,175.7625275,28481200,AAPL
5/30/19,177.9499969,179.2299957,176.6699982,178.3000031,176.6741486,21218400,AAPL
5/31/19,176.2299957,177.9900055,174.9900055,175.0700073,173.4736023,27043600,AAPL
6/3/19,175.6000061,177.9199982,170.2700043,173.3000031,171.7197266,40396100,AAPL
6/4/19,175.4400024,179.8300018,174.5200043,179.6399994,178.0019226,30968000,AAPL
6/5/19,184.2799988,184.9900055,181.1399994,182.5399933,180.8754578,29773400,AAPL
6/6/19,183.0800018,185.4700012,182.1499939,185.2200012,183.5310364,22526300,AAPL
6/7/19,186.5099945,191.9199982,185.7700043,190.1499939,188.4160767,30684400,AAPL
6/10/19,191.8099976,195.3699951,191.6199951,192.5800018,190.8239288,26220900,AAPL
6/11/19,194.8600006,196,193.6000061,194.8099976,193.0335846,26932900,AAPL
6/12/19,193.9499969,195.9700012,193.3899994,194.1900024,192.4192505,18221800,AAPL
6/13/19,194.6999969,196.7899933,193.6000061,194.1499939,192.3795929,21674600,AAPL
6/14/19,191.5500031,193.5899963,190.3000031,192.7400055,190.9824677,18761500,AAPL
6/17/19,192.8999939,194.9600067,192.1699982,193.8899994,192.1219788,14669100,AAPL
6/18/19,196.0500031,200.2899933,195.2100067,198.4499969,196.6403961,26551000,AAPL
6/19/19,199.6799927,199.8800049,197.3099976,197.8699951,196.0656891,21124200,AAPL
6/20/19,200.3699951,200.6100006,198.0299988,199.4600067,197.6411896,21514000,AAPL
6/21/19,198.8000031,200.8500061,198.1499939,198.7799988,196.9673767,47800600,AAPL
6/24/19,198.5399933,200.1600037,198.1699982,198.5800018,196.7692108,18220400,AAPL
6/25/19,198.4299927,199.2599945,195.2899933,195.5700073,193.7866669,21070300,AAPL
6/26/19,197.7700043,200.9900055,197.3500061,199.8000031,197.9780884,26067500,AAPL
6/27/19,200.2899933,201.5700073,199.5700073,199.7400055,197.9186401,20899700,AAPL
6/28/19,198.6799927,199.5,197.0500031,197.9199982,196.1152191,31110600,AAPL
7/1/19,203.1699982,204.4900055,200.6499939,201.5500031,199.7121429,27316700,AAPL
7/2/19,201.4100037,203.1300049,201.3600006,202.7299957,200.8813629,16935200,AAPL
7/3/19,203.2799988,204.4400024,202.6900024,204.4100037,202.546051,11362000,AAPL
7/5/19,203.3500061,205.0800018,202.8999939,204.2299957,202.3676758,17265500,AAPL
7/8/19,200.8099976,201.3999939,198.4100037,200.0200043,198.1960754,25338600,AAPL
7/9/19,199.1999969,201.5099945,198.8099976,201.2400055,199.4049683,20578000,AAPL
7/10/19,201.8500061,203.7299957,201.5599976,203.2299957,201.3768158,17897100,AAPL
7/11/19,203.3099976,204.3899994,201.7100067,201.75,199.9103088,20191800,AAPL
7/12/19,202.4499969,204,202.1999969,203.3000031,201.4461823,17595200,AAPL
7/15/19,204.0899963,205.8699951,204,205.2100067,203.3387604,16947400,AAPL
7/16/19,204.5899963,206.1100006,203.5,204.5,202.6352234,16866800,AAPL
7/17/19,204.0500031,205.0899963,203.2700043,203.3500061,201.4957123,14107500,AAPL
7/18/19,204,205.8800049,203.6999969,205.6600037,203.7846527,18582200,AAPL
7/19/19,205.7899933,206.5,202.3600006,202.5899963,200.7426453,20929300,AAPL
7/22/19,203.6499939,207.2299957,203.6100006,207.2200012,205.3304291,22277900,AAPL
7/23/19,208.4600067,208.9100037,207.2899933,208.8399963,206.9356384,18355200,AAPL
7/24/19,207.6699982,209.1499939,207.1699982,208.6699982,206.7672119,14991600,AAPL
7/25/19,208.8899994,209.2400055,206.7299957,207.0200043,205.1322632,13909600,AAPL
7/26/19,207.4799957,209.7299957,207.1399994,207.7400055,205.8456879,17618900,AAPL
7/29/19,208.4600067,210.6399994,208.4400024,209.6799927,207.7679901,21673400,AAPL
7/30/19,208.7599945,210.1600037,207.3099976,208.7799988,206.8761902,33935700,AAPL
7/31/19,216.4199982,221.3699951,211.3000031,213.0399933,211.0973663,69281400,AAPL
8/1/19,213.8999939,218.0299988,206.7400055,208.4299927,206.5293732,54017900,AAPL
8/2/19,205.5299988,206.4299927,201.6300049,204.0200043,202.1596069,40862100,AAPL
8/5/19,197.9900055,198.6499939,192.5800018,193.3399963,191.5769806,52393000,AAPL
8/6/19,196.3099976,198.0700073,194.0399933,197,195.2036133,35824800,AAPL
8/7/19,195.4100037,199.5599976,193.8200073,199.0399933,197.2250061,33364400,AAPL
8/8/19,200.1999969,203.5299988,199.3899994,203.4299927,201.5749817,27009500,AAPL
8/9/19,201.3000031,202.7599945,199.2899933,200.9900055,199.9139252,24619700,AAPL
8/12/19,199.6199951,202.0500031,199.1499939,200.4799957,199.4066467,22474900,AAPL
8/13/19,201.0200043,212.1399994,200.4799957,208.9700012,207.8512115,47218500,AAPL
8/14/19,203.1600037,206.4400024,202.5899963,202.75,201.664505,36547400,AAPL
8/15/19,203.4600067,205.1399994,199.6699982,201.7400055,200.6599121,27227400,AAPL
8/16/19,204.2799988,207.1600037,203.8399963,206.5,205.3944244,27620400,AAPL
8/19/19,210.6199951,212.7299957,210.0299988,210.3500061,209.2238159,24413600,AAPL
8/20/19,210.8800049,213.3500061,210.3200073,210.3600006,209.2337646,26884300,AAPL
8/21/19,212.9900055,213.6499939,211.6000061,212.6399994,211.5015564,21535400,AAPL
